horizon,term,estimate,ci_low,ci_high,se,shock_sd,estimate_1sd,ci_low_1sd,ci_high_1sd,nobs,se_method,response_type,spec
0,mp_pos_x_ph2m,1.0005063774686598,-0.710981864090634,2.7119946190279536,1.0405109691926333,0.017527450539906914,0.017536326045943372,-0.012461699457619407,0.04753435154950615,2511,driscoll_kraay,cumulative,twfe_directional_dummies
1,mp_pos_x_ph2m,-1.4468319277091999,-2.326263238216254,-0.5674006172021461,0.534656273419884,0.017527450539906914,-0.025359275052481176,-0.04077346385063908,-0.009945086254323271,2484,driscoll_kraay,cumulative,twfe_directional_dummies
2,mp_pos_x_ph2m,-1.4184487128256509,-2.182985832326355,-0.653911593324947,0.4648055650505978,0.017527450539906914,-0.02486178965744622,-0.03826217620541771,-0.011461403109474732,2457,driscoll_kraay,cumulative,twfe_directional_dummies
3,mp_pos_x_ph2m,-3.3011761046220784,-4.088506059351125,-2.5138461498930322,0.47866262494630774,0.017527450539906914,-0.05786120089728605,-0.07166108773738657,-0.044061314057185545,2430,driscoll_kraay,cumulative,twfe_directional_dummies
4,mp_pos_x_ph2m,-2.648554197267833,-3.781621551356532,-1.5154868431791342,0.6888560389344164,0.017527450539906914,-0.046422402694874805,-0.06628218470204766,-0.02656262068770194,2403,driscoll_kraay,cumulative,twfe_directional_dummies
5,mp_pos_x_ph2m,-1.5803786982698511,-2.686222254762144,-0.47453514177755807,0.6723051451950982,0.017527450539906914,-0.02770000946824729,-0.04708262770954071,-0.008317391226953864,2376,driscoll_kraay,cumulative,twfe_directional_dummies
6,mp_pos_x_ph2m,-2.3713323283914582,-3.532813650819563,-1.2098510059633534,0.706130505108083,0.017527450539906914,-0.04156341009956358,-0.061921216531447866,-0.0212056036676793,2349,driscoll_kraay,cumulative,twfe_directional_dummies
7,mp_pos_x_ph2m,-2.8317783865780912,-4.670675330926112,-0.9928814422300698,1.1179699604980564,0.017527450539906914,-0.0496338556107249,-0.08186503085077079,-0.01740268037067899,2322,driscoll_kraay,cumulative,twfe_directional_dummies
8,mp_pos_x_ph2m,-0.15774031294831803,-1.6382023680844209,1.322721742187785,0.9000570208061324,0.017527450539906914,-0.0027647855333510826,-0.02871351098095807,0.023183939914255908,2295,driscoll_kraay,cumulative,twfe_directional_dummies
9,mp_pos_x_ph2m,0.864745462833412,-0.5389228013901907,2.268413727057015,0.8533697109724739,0.017527450539906914,0.015156783329421542,-0.009445942746194645,0.03975950940503773,2268,driscoll_kraay,cumulative,twfe_directional_dummies
